longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.181,28.492,9.951862011803314e-06,,,1.7630651200306602e-05,,,,3.0497423722408712e-05,,1.8427286704536527e-05,,1.5813744539627805e-05,8.658021215524059e-06,2.969066918012686e-05,2.282137756992597e-05
77.192,28.492,2.9087343591527315e-06,,,3.683887916849926e-05,,,,2.975164170493372e-05,,1.1456781066954136e-05,,-1.0165537787543144e-05,1.1653142792056316e-05,2.8649532396229915e-05,1.5117432667466346e-05
77.202,28.492,4.656623787013814e-05,,,6.102846236899495e-05,1.3491757272277027e-05,3.5510605812305585e-05,,2.975164170493372e-05,,5.111538030178053e-06,,2.296640332133393e-06,1.004551722871838e-05,8.911053737392649e-05,1.5342395272455178e-05
77.213,28.492,2.679000090211048e-06,,,-6.777032467653044e-06,5.183795292396098e-05,,,1.4253674635256177e-05,,-7.50261915527517e-06,,-1.1154894536957729e-06,8.788460945652332e-06,6.058227154426277e-05,8.48765739647206e-06
77.223,28.492,9.355023394164164e-06,,,,,,,,,-7.503715551138157e-06,,3.799736987275537e-06,1.1340808669046964e-05,0.0004223065916448,2.0511733964667656e-06
77.233,28.492,9.948075252452782e-09,,,0.0001411239500157,2.747096550592687e-05,,,,,2.034868657574407e-06,,2.0221172235324048e-05,4.501377134147333e-06,0.0003090110549237,4.243931073233398e-07
77.244,28.492,3.802813807851635e-05,,,3.408492148082587e-06,2.084421066683717e-05,,,,,5.948171519776224e-07,,1.8968927179230377e-05,8.917736522562336e-06,0.0004049215349368,-2.4578505417593988e-06
77.254,28.492,-2.058018480965984e-06,,,0.0003247274726163,,3.279120574006811e-05,,,,1.32435588966473e-05,,2.98716963698098e-06,9.591138223186135e-06,0.0006458401912823,1.4195567018759904e-05
77.264,28.492,9.836249773798045e-06,,,1.0602733709674794e-05,,,,2.700899676710833e-05,,1.3601334103441332e-05,,4.57667238151771e-06,7.803253538440913e-06,,9.947544640453998e-06
77.275,28.492,6.4752480284369085e-06,,,0.0003044928307645,,,,,,6.584277798538096e-06,,1.5925561456242576e-06,-1.128374151448952e-06,1.6059559129644185e-05,5.623362994811032e-06
77.306,28.492,2.2899600935488702e-06,,,7.174893107730895e-05,,,,2.549152122810483e-05,,-4.390406047605211e-07,,5.567192147282185e-06,2.275814949825872e-06,1.0403656233393122e-05,8.482361590722576e-05
77.316,28.492,1.067287757905433e-05,,,2.3133543436415493e-05,5.4985343012958765e-05,2.727558785409201e-05,,1.8401538909529336e-05,,1.0470589586475398e-05,,6.620335625484586e-06,1.125916878663702e-05,1.123620768339606e-05,7.861509402573574e-06
77.327,28.492,2.1482848751475103e-05,,,5.720185072277673e-07,,,,,,7.430020104948198e-06,,1.0827403457369655e-05,7.653894499526359e-06,1.2378578730931622e-06,2.065543958451599e-05
76.891,28.502,-6.902385393914301e-06,,,0.0007755021215416,,,,,,1.7263696463487577e-06,,4.406494099384872e-06,1.4143912267172707e-05,0.0002520812849979,1.8601327610667795e-05
77.109,28.502,1.965060982911382e-05,,,,,,,1.3147038771421649e-05,,2.531232712499332e-05,,5.04764830111526e-06,1.6623831470496953e-05,1.738003993523307e-05,1.3625040082843045e-05
77.119,28.502,3.381031774551957e-06,,,6.474982910731342e-06,,,,2.069549918815028e-05,,5.890938155062031e-06,,7.220693987619597e-06,-1.836428282331326e-06,0.0002860774111468,0.0001579169183969
77.129,28.502,3.857835690723732e-05,,,7.317266408790601e-06,,2.141184631909709e-05,,,,2.860747008526232e-05,,9.601068995834794e-06,6.576876330655068e-06,0.0002528741897549,2.2179707229952328e-05
77.14,28.502,3.4015640267170966e-05,,,9.503232831775676e-06,,,,,,-7.455965715053026e-06,,1.4618682143918704e-05,7.165510396589525e-06,0.0004827645025216,3.094853582297219e-06
77.15,28.502,9.33166957111098e-05,,,1.2954134035680909e-05,4.300657019484788e-05,,,,,-1.0805346391862258e-05,,1.6735129975131713e-05,6.686086180707207e-06,-3.271685272920877e-05,1.140490985562792e-05
77.161,28.502,3.581908458727412e-05,,,,,,,,,1.3981102711113635e-05,,1.4460675629379692e-05,-3.953309260396054e-06,0.0001357345172436,1.4462824765359985e-05
77.171,28.502,3.5407418181421235e-05,,,,,,,1.6177280485862866e-05,,1.1044563507311976e-05,,2.0075123757123947e-05,-5.740076858273824e-07,0.0004048240953125,1.9687549865921028e-05
77.181,28.502,6.80844095768407e-05,,,-4.92528488393873e-05,,,,,,1.3620671779790428e-05,,6.449638476624386e-06,2.3441409211955037e-05,0.0001330928207607,1.954403705894947e-05
77.192,28.502,7.982469469425268e-06,,,2.9202446967246946e-05,,,,,,4.382212409836939e-06,,3.921802090189885e-06,7.033836936898297e-06,0.000147779850522,1.6997284546960145e-05
77.202,28.502,,,,,,3.1320701964432374e-05,,,,-8.860302841640078e-06,,7.316471055673901e-06,9.750523531693034e-06,0.0006899566506035,3.983986971434206e-05
77.213,28.502,0.0001291350781684,,,6.317327006399864e-06,,,,,,5.462369699671399e-06,,5.493469870998524e-06,6.906531325512333e-06,9.07971043488942e-05,0.0005066343001089
77.223,28.502,8.226180398196448e-06,,,1.6989719370030798e-05,3.62272112397477e-05,,,2.975164170493372e-05,,4.311178145144368e-06,,4.135918970860075e-06,3.409091959838406e-06,0.0006708500441163,1.6519275959581137e-05
77.233,28.502,7.674309927097056e-06,,,-8.948216418502852e-06,,,,2.975164170493372e-05,,8.129956768243574e-06,,8.705036634637509e-06,1.177373451355379e-05,0.0004761277523357,2.257187952636741e-05
77.244,28.502,2.362667328270618e-05,,,1.1773526239267085e-05,5.183795292396098e-05,2.927649802586529e-05,,,,2.8331457997410325e-06,,6.506527370220283e-06,1.2659407730097882e-05,5.807440174976364e-05,2.098372897307854e-05
77.254,28.502,6.374906206474407e-06,,,1.6651712940074503e-05,,,,,,-9.100371244130656e-06,,9.005127139971592e-06,7.437456588377245e-06,0.0004266632895451,-4.312181317800423e-06
77.264,28.502,-5.364228172766161e-07,,,3.915272100130096e-05,,,,1.5106609680515248e-05,,7.33685192244593e-06,,9.28575263969833e-06,9.438549568585586e-06,4.490506398724392e-05,7.038730018393835e-06
77.275,28.502,2.311919161002152e-05,,,-6.212535481608938e-06,,3.279120574006811e-05,,2.388116627116688e-05,,5.017952844355023e-06,,6.9676580096711405e-06,7.435197630911716e-07,0.0003307027509436,6.155113624117803e-06
77.285,28.502,8.199809599318542e-06,,,4.190059553366154e-05,6.752982153557241e-05,,,1.0965024557663128e-05,,1.7668635337031446e-05,,1.1741663001885172e-05,4.476923550100764e-06,0.0001541413512313,2.9385741072474048e-05
77.296,28.502,1.810327921702992e-05,,,0.0001078325076377,,,,,,1.780016827979125e-05,,3.11024905386148e-06,1.357122073386563e-05,4.186008300166577e-05,1.5784627976245247e-05
77.306,28.502,8.401996456086636e-05,,,1.547889769426547e-05,,,,,,8.226593877225241e-07,,1.0827403457369655e-05,1.5727522622910328e-05,0.0003428389318287,6.185835445648991e-06
77.316,28.502,2.6796709789778103e-05,,,2.0426443370524797e-05,,,,,,4.369276666693622e-06,,-3.953345185436774e-06,6.379299975378672e-06,0.0002738554903771,2.3503464035457e-05
77.327,28.502,1.3152209248801228e-05,,,0.0001431359996786,,,,,,-4.585519491229206e-06,,-7.473177561223565e-07,2.17318529394106e-06,2.959261655632872e-05,2.152425622625742e-05
76.891,28.512,1.0014799727287027e-06,,,0.0001954995823325,,,,,,4.936982804792933e-06,,4.24228983320063e-06,,2.346021392440889e-05,1.983074616873637e-05
76.901,28.512,7.664252734684851e-06,,,1.0284940799465405e-05,1.197366691485513e-05,,,2.090071029670071e-05,,7.80529353505699e-06,,4.012228146166308e-06,1.014235840557376e-05,7.973315950948745e-05,0.0002712414425332
76.922,28.512,1.0035375453298911e-05,,,-3.832140919257654e-06,,,,,,1.3275837773107924e-05,,1.5469264553757966e-06,-2.0664049316110322e-07,7.983498653629795e-05,2.868898445740342e-05
76.932,28.512,,,,-1.9598641301854517e-05,,1.7920061509357765e-05,,2.628539186844137e-05,,1.5098873518581968e-05,,6.612605830014218e-06,6.712607955705607e-06,2.230333484476432e-05,1.464388788008364e-05
76.943,28.512,7.025143077044049e-06,,,1.1534570148796774e-05,,,,,,9.910700100590477e-06,,-5.221978426561691e-06,3.4059253266605083e-06,0.000123290461488,1.672205689828843e-05
76.953,28.512,3.733644189196639e-05,,,0.0008736446034163,,,,1.835052535170689e-05,,8.112701834761538e-06,,8.113851436064579e-06,1.0952699994959405e-05,,2.2823396648163907e-05
