longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
76.994,28.531,1.184174652735237e-05,3.6431583794183098e-06
77.036,28.531,1.0027737516793422e-05,1.3346248124435078e-05
77.046,28.531,1.560356395202689e-05,5.187799160921713e-06
77.057,28.531,1.0866753655136565e-05,5.809411049995106e-06
77.067,28.531,1.1047510270145722e-05,2.038753154920414e-05
77.078,28.531,,7.786884452798404e-06
77.088,28.531,1.1507235285534987e-05,3.397401087568141e-06
77.098,28.531,,1.8759066733764485e-05
77.109,28.531,2.008207229664549e-05,-1.0023372851719614e-06
77.119,28.531,2.413959737168625e-05,1.468363507228787e-06
77.129,28.531,8.7958314907155e-06,-4.428559350344585e-06
77.14,28.531,,1.4157180885376874e-05
77.15,28.531,2.1940699298284017e-05,8.306744234687358e-07
77.161,28.531,1.1536682904988991e-05,2.1360090613598004e-05
77.171,28.531,7.824750355212018e-06,6.869239769002888e-06
77.181,28.531,,1.5958201402099803e-05
77.192,28.531,1.962133865163196e-05,8.908736162993591e-06
77.202,28.531,,-1.0590612873784266e-05
77.213,28.531,,8.409467227465939e-06
77.223,28.531,-2.250704710604623e-06,2.238364686490968e-05
77.233,28.531,3.208253701814101e-06,5.378731202654308e-06
77.244,28.531,,3.910701707354747e-06
77.254,28.531,2.568534364399966e-05,6.189448868099134e-06
77.264,28.531,,1.2860712558904195e-05
77.275,28.531,1.32257573568495e-05,9.889708053378854e-06
77.285,28.531,3.8934871554374695e-05,7.100895345502067e-06
77.296,28.531,2.1093972463859245e-05,2.3720349417999387e-06
77.306,28.531,1.3697958820557687e-05,1.0600355381029658e-05
77.316,28.531,3.1920844776323065e-05,1.3497719010047147e-05
77.327,28.531,2.4072125597740524e-05,9.5406412583543e-06
76.87,28.541,3.5543730518838856e-06,-9.517976650386116e-06
76.88,28.541,,
76.891,28.541,,1.6230034816544503e-05
76.901,28.541,,1.0627143637975678e-05
76.911,28.541,8.297644853882957e-06,-1.547081774333492e-05
76.922,28.541,,-3.128295134047221e-07
76.932,28.541,2.5462119083385915e-05,
76.943,28.541,,8.336159226018935e-06
76.953,28.541,2.9647502742591317e-05,1.303472981817322e-05
76.963,28.541,1.3371449313126504e-05,1.1271322364336813e-05
76.974,28.541,,1.6322337614838034e-05
76.984,28.541,1.1628804713836873e-05,1.1359374184394255e-05
76.994,28.541,9.207503353536596e-06,2.604540713946335e-05
77.005,28.541,7.738130079815164e-06,-2.9150814953027293e-06
77.015,28.541,-1.1622266356425826e-05,5.030402462580241e-06
77.026,28.541,,9.705723641673105e-06
77.036,28.541,8.360299398191273e-05,
77.046,28.541,2.2197151338332333e-05,1.3993274478707464e-05
77.057,28.541,1.1848200301756153e-05,1.2471896297938656e-05
77.067,28.541,3.407314216019586e-05,1.0034937076852655e-05
77.078,28.541,1.421261731593404e-05,2.413145193713717e-05
77.088,28.541,1.989639349631034e-05,1.3501087778422516e-05
77.098,28.541,,8.030708158912603e-06
77.109,28.541,2.8849997761426494e-05,2.0421948647708632e-05
77.119,28.541,8.888219781510998e-06,1.764226908562705e-05
77.129,28.541,6.14409327681642e-06,-4.204604010737967e-06
77.14,28.541,,8.942171007220168e-06
77.15,28.541,9.7748725238489e-06,6.390418548107846e-06
77.161,28.541,9.72631823970005e-06,1.5180589798546862e-05
77.171,28.541,,4.923188043903792e-06
77.181,28.541,1.5969961168593727e-05,1.5486322809010744e-05
77.192,28.541,2.664817475306336e-05,5.165885795577196e-06
77.202,28.541,,5.505519766302314e-06
77.213,28.541,,1.0462097634444945e-05
77.223,28.541,2.3827127733966336e-05,-8.132066795951687e-06
77.233,28.541,1.1432350220275111e-05,2.2410022211261094e-05
77.244,28.541,2.7060525098931976e-05,4.811714461538941e-06
77.254,28.541,5.176115337235387e-06,3.568015699784155e-06
77.264,28.541,,6.7852797656087205e-06
77.275,28.541,9.615390808903612e-06,1.918399902933743e-05
77.285,28.541,,2.245681571366731e-05
77.296,28.541,-1.74190936377272e-05,5.254181360214716e-06
77.306,28.541,2.7821073672384955e-05,-3.506842404021881e-06
77.316,28.541,4.132398680667393e-05,5.518027592188446e-06
76.849,28.551,-5.582016001426382e-06,-2.08688618386077e-07
