longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.264,28.502,7.817565347068012e-06,,1.9007380615221336e-05,3.2673883652023505e-06
77.275,28.502,4.427082785696257e-06,1.5815345250302926e-05,0.0001571759057696,2.92493382403336e-06
77.285,28.502,1.430192924090079e-06,,0.0001556696370244,-3.3424373668822227e-06
77.296,28.502,4.5562519517261535e-05,7.221276518976083e-06,2.2952895960770547e-05,7.031594577711076e-06
77.306,28.502,-2.881279215216637e-07,3.321065378258936e-05,0.0001588046143297,1.3612936527351849e-05
77.316,28.502,7.787875074427575e-05,3.655556065496057e-05,1.2584585419972427e-05,8.694551070220768e-06
77.327,28.502,1.2817054084734991e-05,2.3075113858794797e-05,9.728367876959965e-05,3.647983248811215e-05
76.891,28.512,5.164974936633371e-05,,2.4950879378593527e-05,2.324467823200393e-05
76.901,28.512,-1.2349938742772792e-06,-1.821352816477884e-05,0.0001861387281678,4.745985734189162e-06
76.922,28.512,5.622050025522185e-07,,1.598606104380451e-05,3.080984924963559e-06
76.932,28.512,8.957878890214488e-06,5.755194706580369e-06,8.424659608863294e-05,2.5066752641578205e-05
76.943,28.512,1.564724516356364e-05,,9.274162948713638e-06,1.4107396054896526e-05
76.953,28.512,0.0001005643935059,,2.4296939500345616e-06,1.2471386980905663e-05
76.963,28.512,3.9025971432238293e-07,2.5813651518546976e-05,3.8655169191770256e-05,1.6484125808347017e-05
77.098,28.512,1.6347135897376575e-05,8.200361662602518e-06,2.554919410613365e-05,1.177070771518629e-05
77.109,28.512,9.251834853785113e-06,,0.0002530313213355,4.181088297627866e-05
77.119,28.512,6.817205303377705e-06,,2.8454382118070495e-05,2.3672888005421558e-07
77.129,28.512,1.1521833584993146e-05,2.664195380930323e-05,1.331610565102892e-05,1.1904963912456878e-06
77.14,28.512,7.680953785893507e-06,,2.028053131652996e-05,3.5043124171352247e-06
77.15,28.512,4.592788627633127e-06,1.0813890185090712e-05,0.0001024102166411,8.328192961926106e-06
77.161,28.512,1.2615404557436705e-05,-7.128523975552525e-06,1.5484803952858783e-05,1.4579045455320738e-05
77.171,28.512,1.696154140518047e-05,-1.772874929883983e-05,-1.900064319215744e-07,1.094940489565488e-05
77.181,28.512,1.951757076312788e-05,-1.6816882634884678e-05,2.5323693989776075e-05,5.9548210629145615e-06
77.192,28.512,9.978525667975193e-06,-1.852323111961596e-05,1.613208223716356e-05,1.1227623872400729e-05
77.202,28.512,5.256409281173546e-07,1.6780293663032353e-05,0.0001206921151606,1.1102053576905746e-05
77.213,28.512,4.202358104521409e-05,-3.902724347426556e-05,0.0001967737043742,5.292084460961632e-05
77.223,28.512,2.616884273720643e-07,,1.2740052625304088e-05,
77.233,28.512,-1.1016751386705437e-06,1.3457335626299027e-05,0.0001053616360877,1.3707515336136566e-06
77.244,28.512,2.6608406187733635e-05,4.040470230393112e-05,1.128818894358119e-05,2.0932515326421708e-05
