longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.943,28.551,1.4084581380302552e-05,2.1964551706332717e-05,2.703951213334221e-05
76.953,28.551,-3.511631348374067e-06,,3.14912322210148e-05
76.963,28.551,6.9703091867268085e-06,3.435748681113182e-07,2.8078775358153507e-05
76.974,28.551,1.516259771960904e-06,2.838732825694024e-06,2.8961234420421533e-05
76.984,28.551,,1.754372897266876e-05,2.2416779756895263e-05
76.994,28.551,-2.0437228158698417e-05,8.027614057937171e-06,2.392937858530786e-05
77.005,28.551,2.9438972433126764e-06,2.701017183426302e-05,5.061225601821207e-05
77.015,28.551,-9.02226020116359e-06,1.565187812957447e-05,5.3778097935719416e-05
77.026,28.551,1.2274729670025408e-05,7.457545507350005e-06,
77.036,28.551,,-1.4054302255317452e-06,1.7602636944502592e-05
77.046,28.551,6.523229785670992e-06,-4.7107628233789e-06,5.12670558237005e-05
77.057,28.551,,6.834496161900461e-06,1.6431815311079845e-05
77.067,28.551,7.506167548854137e-06,,1.2551138752314728e-05
77.078,28.551,2.549724513301044e-06,2.39016462728614e-05,1.1669280866044572e-05
77.088,28.551,1.002015960693825e-05,2.489572216290981e-05,2.759993549261708e-05
77.098,28.551,1.5184873518592212e-06,1.4019398804521188e-05,8.564386371290311e-05
77.109,28.551,1.5526104107266292e-05,1.533368049422279e-05,3.774786091526039e-05
77.119,28.551,6.540445269820339e-07,2.921671693911776e-05,1.5026290384412276e-05
77.129,28.551,5.150262950337492e-06,1.710212745820172e-05,1.344837983197067e-05
77.14,28.551,,1.62991836987203e-05,3.103871495113708e-05
77.15,28.551,-9.361311640532222e-06,,1.7456457499065436e-05
77.161,28.551,1.3019950529269408e-05,,2.3227426936500702e-05
77.171,28.551,4.957909823133377e-06,7.847186680010054e-06,4.769445149577223e-05
77.181,28.551,5.7058946367760655e-06,1.939911635417957e-05,8.612820238340646e-06
77.192,28.551,2.139214302587789e-06,2.620321902213618e-05,3.2658299460308626e-05
77.202,28.551,9.24906362342881e-06,1.6062200302258134e-05,2.062521525658667e-05
77.213,28.551,2.6685502234613523e-06,1.1177622809555032e-06,1.9897483070963062e-05
77.223,28.551,,,7.475848542526364e-05
77.233,28.551,-1.5618270481354557e-06,4.071238072356209e-05,2.4665871023898944e-05
77.244,28.551,7.874061338952743e-06,9.136547305388376e-06,
77.254,28.551,1.2493155736592598e-05,,1.2297826287976932e-05
77.264,28.551,8.838675967126619e-06,9.383807082485872e-06,3.668603676487692e-05
77.275,28.551,-3.319219388231432e-07,,1.826513107516803e-05
77.285,28.551,1.0245672456221657e-05,1.84351210918976e-05,2.6890791559708305e-05
77.296,28.551,,4.332660864747595e-06,4.764004552271217e-05
77.306,28.551,6.094635409681359e-06,,1.7530455806991085e-05
77.316,28.551,1.826357220124919e-05,2.513155413907953e-05,2.168948776670732e-05
76.849,28.561,1.2016308573947754e-05,2.738056900852825e-05,3.569059481378645e-05
76.86,28.561,-3.0419100767176133e-06,1.0202320481766948e-05,1.655740379646886e-05
76.87,28.561,1.2684403372986708e-05,1.2709887414530384e-05,1.1671801075863186e-05
76.88,28.561,1.2925325791002251e-05,2.7571359169087373e-05,3.066012868657708e-05
76.891,28.561,-4.212690782878781e-06,-1.0199373718933202e-06,1.6374182450817898e-05
76.901,28.561,8.985762178781442e-06,1.087772943719756e-05,2.3214020984596573e-05
