longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.14,28.482,9.078144671548216e-07,1.536674244562164e-05,4.108581208583928e-07,5.893140041735023e-06,5.048789171269164e-05,1.4814910173299722e-05,,,8.185156730178278e-06,6.227832636795938e-05,,1.3779975233774168e-05
77.15,28.482,1.2439859347068705e-06,1.536674244562164e-05,5.154329301149119e-06,2.1227426714176545e-06,,0.0001002106728265,,,8.080899533524644e-06,,-2.038206366705708e-05,2.7470010536490008e-05
77.161,28.482,8.0374784374726e-06,,-3.558198841346893e-06,3.737340193765704e-06,4.156131399213336e-05,0.0002514894295018,,,5.574917850026395e-06,3.5075277992291376e-05,-1.3763456991000568e-05,1.9715860616997816e-05
77.171,28.482,,3.27055822708644e-05,1.1008959518221673e-05,2.7298983695800416e-05,0.0001272418303415,4.808572339243256e-05,,,1.0202828661931562e-06,,-1.7767195458873175e-05,
77.181,28.482,-2.204787051596213e-05,3.27055822708644e-05,-4.565725703287171e-06,2.097678952850401e-05,2.911950286943465e-05,0.0001003932848107,,,-5.532035629585152e-07,2.620986197143793e-05,-1.3348933862289414e-05,
77.192,28.482,0.0001203648862428,,-5.161842182133114e-06,1.9709659682121128e-06,,3.6587294744094834e-05,,,7.020569682936184e-06,2.1604058929369785e-05,,
77.202,28.482,4.644547971111024e-06,3.252148235333152e-05,3.185102741554146e-06,-8.549473591301648e-07,5.0425620429450646e-05,6.253292667679489e-05,,,-5.7433055644651176e-08,,-2.322082764294464e-05,4.5829325244994834e-05
77.213,28.482,,2.344548192922957e-05,1.1227360118937211e-05,0.0001922181400004,,5.219633021624759e-05,,,5.261122169031296e-06,2.420652162982151e-05,-2.1978268705424853e-05,
77.223,28.482,-2.0471776224439964e-05,,1.360144142381614e-05,6.908950581419049e-06,0.0001010013438644,0.0001574127090862,,,3.550826932041673e-06,6.21122308075428e-05,,1.4573811313312037e-05
77.233,28.482,-2.13601397263119e-05,,6.8917447606509086e-06,-5.262922968540806e-06,9.6875308372546e-05,2.6115705622942187e-05,,,3.4739762213575887e-06,3.775950244744308e-05,,1.98534344235668e-05
77.244,28.482,-1.8232389265904203e-05,,,4.243409421178512e-06,2.546696305216756e-05,7.199039828265086e-05,,,1.5789991039127926e-06,,-1.3348192624107467e-05,1.640895425225608e-05
77.129,28.492,1.2439859347068705e-06,2.112095899065025e-05,1.6602258483544574e-06,5.998597316647647e-06,,7.35887952032499e-05,-3.123293208773248e-05,,-2.0829606910410803e-06,2.223047340521589e-05,-2.396216041233856e-05,4.553807229967788e-05
77.14,28.492,,1.9754486856982112e-05,1.6083597074612044e-05,1.9752313164644875e-05,,3.0253915610956028e-05,,,-4.531522336037597e-06,,-1.7767195458873175e-05,2.0927654986735437e-05
77.15,28.492,1.1656780770863406e-05,2.8891314286738637e-05,-2.122588557540439e-05,9.740088898979591e-06,,0.0001382841583108,,,4.055639237776632e-06,5.049394530942664e-05,,2.567149931564927e-05
77.161,28.492,-1.1781543435063211e-05,2.457942537148483e-05,2.9880927741032792e-06,4.384318344818894e-06,7.740552246104926e-05,1.9025785150006413e-05,,,6.382487754308386e-06,6.14565287833102e-05,,1.953523860720452e-05
77.171,28.492,1.0730297361760677e-07,1.536674244562164e-05,5.272054295346607e-06,1.3517837942345068e-05,,1.1144006748509128e-05,,,-5.7433055644651176e-08,6.316571671050042e-05,,1.5688103303546086e-05
77.181,28.492,,1.536674244562164e-05,-5.726069957745494e-06,5.752289507654496e-05,,0.0002392594469711,,,4.900426574749872e-06,4.472077489481308e-05,-2.1978268705424853e-05,1.9715860616997816e-05
77.192,28.492,-1.282046468986664e-05,,2.0423398382263255e-05,1.236426214745734e-05,4.021438871859573e-05,9.635609603719786e-05,,,1.6784374565759208e-06,3.5075277992291376e-05,,2.188176586059853e-05
77.202,28.492,0.0001138328734668,,5.706911451852648e-06,2.046514055109583e-05,3.843607191811316e-05,0.0001013137589325,,,-6.184818630572408e-07,,,2.756595677055884e-05
