longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.202,28.463,5.566823165281676e-05,-2.688565473363269e-05,7.134103270800551e-06,2.279868749610614e-05,1.83200045285048e-05,1.659941699472256e-05,,1.815145537875651e-06,-7.059545623633312e-06,-3.011110493389424e-06,9.145199874183164e-05,6.170458618726116e-06,2.4452652723994103e-05
77.213,28.463,-1.3791885066893885e-05,3.57743410859257e-05,4.008702944702236e-06,2.767635123746004e-05,4.247336619300768e-06,1.7971033230423927e-05,4.7483026719419286e-06,5.285040970193222e-06,-3.973475395468995e-05,-2.386966662015766e-05,3.4432166557962773e-06,3.356972001711256e-06,2.710223452595528e-05
77.223,28.463,0.0002617766149342,-7.559611276519718e-06,2.859128017007606e-06,1.885942583612632e-05,5.180227617529454e-06,1.4602583178202622e-05,-4.4342818910081405e-06,1.0591151294647716e-05,-5.200288342166459e-06,2.9111042749718763e-06,2.069389847747516e-05,-1.6194171621464193e-06,3.701356035890058e-05
77.119,28.473,0.0003884055477101,-2.8830121664213948e-05,-1.0037448191724252e-05,0.000148187027662,1.0451811249367893e-05,2.880405736505054e-05,1.892187174235005e-05,-4.874634760199115e-05,-1.186681129183853e-05,,2.717389543249737e-05,4.079142399859848e-06,2.293894976901356e-05
77.129,28.473,2.592989767435938e-05,-3.938691588700749e-05,3.714330659931875e-06,4.771857675223146e-06,7.479166470147902e-06,2.2700862245983444e-05,1.892187174235005e-05,-1.1210319826204795e-05,-7.438846751028905e-06,,2.054541437246371e-05,4.24878453486599e-06,6.966213550185785e-05
77.14,28.473,6.153379217721522e-05,-9.945702913682908e-06,1.1674867437250214e-06,9.923256584443152e-06,1.3113589375279844e-05,3.014781941601541e-05,1.7618787751416676e-05,1.1032751899620052e-05,-7.438846751028905e-06,,1.1117314898001496e-05,1.660859925323166e-05,2.7943295208388008e-05
77.15,28.473,-3.2669759093550965e-05,4.609822099155281e-06,5.148336185811786e-06,6.773228506062878e-06,1.8514072507969104e-05,5.0354519771644846e-05,-7.681753231736366e-06,7.091602583386703e-06,,,3.160063715768047e-05,-2.446338612571708e-06,3.0082226658123545e-05
77.161,28.473,1.950802470673807e-06,-2.0937062799930573e-05,-5.870388577022823e-06,2.5312059733551e-05,-3.1546612717647804e-06,3.547601590980776e-05,-7.681753231736366e-06,2.251557816634886e-05,-5.172335477254819e-06,7.726794137852266e-06,1.452602373319678e-05,7.688710866204929e-06,3.000573633471504e-05
77.171,28.473,1.0356281563872471e-05,-2.4119486624840647e-05,-1.914536596814287e-06,2.7012545615434647e-05,3.659142294054618e-06,3.31388037011493e-05,-7.681753231736366e-06,3.129857077510678e-06,,,1.694481761660427e-05,3.756912747121533e-06,2.4767783543211408e-05
77.181,28.473,4.082846862729639e-05,,-1.955889820237644e-05,1.0882854439842047e-05,8.080474799498916e-06,1.8049056961899623e-05,5.146044259163318e-06,1.0253972504870036e-05,,,5.1084884034935385e-05,7.395149168587523e-06,2.4767783543211408e-05
