longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.14,28.522,3.335791234349017e-07,2.279297768836841e-05,,2.8019656383548863e-05,,1.3339686120161788e-05,
77.15,28.522,2.6387444449937902e-05,2.76005630439613e-05,4.579721462505404e-06,1.1562162399059162e-05,4.882698249275563e-06,1.6871088519110344e-05,
77.161,28.522,3.1356663384940475e-05,7.258581172209233e-05,1.352288450107153e-06,1.0119898433913477e-05,-5.658180270984303e-06,5.915920610277681e-06,
77.171,28.522,1.5871188224991783e-05,9.288713954447305e-06,8.188672836695332e-06,4.748133142129518e-05,7.118072062439751e-06,1.2631685422093142e-05,
77.181,28.522,8.664094639243558e-05,1.6228974345722236e-05,9.84955477179028e-06,4.837096275878139e-05,4.139391478474863e-07,,
77.192,28.522,0.0001364199561066,8.99756014405284e-06,-3.0290295853774296e-06,3.1087809475138783e-05,-2.7360500098438933e-05,1.1175317922607064e-05,
77.202,28.522,1.6597583453403786e-05,1.3531533113564365e-05,,,,,
77.213,28.522,0.0002772719308268,1.949867873918265e-05,,7.020305201876909e-05,2.255223444080912e-05,,
77.223,28.522,4.899162377114408e-05,8.167696250893641e-06,,5.1130227802786976e-05,1.321215859206859e-05,0.0001070005237124,
77.233,28.522,-8.611262387603347e-07,,,1.4068373275222257e-05,-1.785102341500533e-07,2.40091685554944e-05,
77.244,28.522,0.0001432038261555,6.956988727324642e-06,3.103583594565862e-06,6.071651660022326e-05,9.574002888257382e-07,,
77.254,28.522,1.798279663489666e-05,1.8573000488686372e-05,,,2.769350430753548e-05,1.4629044926550703e-05,
77.264,28.522,,8.699673344381154e-06,2.4521101295249537e-05,9.878508535621222e-06,-3.098118759226054e-05,1.5096775314304978e-05,
77.275,28.522,1.410805452906061e-05,8.865651579981204e-06,,7.366514182649553e-05,,1.5096775314304978e-05,
77.285,28.522,0.0001153185148723,1.7615586330066435e-05,3.647629910119576e-06,7.195098987722304e-06,,,
77.296,28.522,5.174292891751975e-05,7.489542622352019e-05,2.189665337937185e-06,0.0001207379027619,5.004223112337058e-06,8.144707862811629e-06,
77.306,28.522,2.678963573998772e-05,1.0896781532210298e-05,1.1570931746973656e-05,2.2307389372144822e-05,,8.144707862811629e-06,
77.316,28.522,-1.0477252544660589e-05,9.42863516684156e-06,,,-2.514306743250927e-06,8.144707862811629e-06,
77.327,28.522,,1.574236921442207e-05,2.751916099441587e-06,,-9.52221489569638e-06,0.0001111847741412,
77.337,28.522,0.0001655446685617,2.2071177227189764e-05,3.2561358239036053e-05,2.2794853066443466e-05,,,
76.88,28.531,4.715665454568807e-06,1.862764111137949e-05,1.1068782441725489e-06,1.5317571524064988e-05,1.4914257008058485e-05,4.0875842387322336e-05,
76.891,28.531,6.468474748544395e-05,9.88206284091575e-06,3.0321607482619584e-05,1.443629662389867e-05,1.3467953067447525e-05,,
76.901,28.531,-4.397612428874709e-06,1.56704118126072e-05,1.0911532626778351e-05,1.6736290490371175e-05,,,
76.911,28.531,2.0359493646537885e-05,2.28106200665934e-05,,5.9492464060895145e-05,-1.6017957022995688e-05,1.643677387619391e-05,
76.922,28.531,,1.510374295321526e-05,8.595110898568237e-07,6.123017556092236e-06,1.6756726836320013e-05,,
76.932,28.531,-8.844231729199237e-07,7.630806794622913e-05,1.7583719454705715e-05,2.3036367565509863e-05,-2.603389839350712e-05,,
76.943,28.531,1.1448651093814988e-05,1.849239197326824e-05,8.50177002575947e-06,4.849112156080082e-05,,6.127604137873277e-05,
76.953,28.531,0.000183012598427,,5.473997589433566e-06,3.841041325358674e-05,2.9883311071898788e-05,0.0001160046158474,
76.963,28.531,9.751917787070852e-06,,,1.300474104937166e-05,8.0389145296067e-06,6.723939441144466e-05,
76.974,28.531,2.6587818865664303e-05,1.1551754141692072e-05,2.121490251738578e-05,5.720110857510008e-05,-5.391651029640343e-06,,
76.984,28.531,2.5735938834259287e-05,1.3818700608680956e-05,1.986698862310732e-06,1.98516918317182e-05,7.536051725764992e-06,0.0001017302711261,
76.994,28.531,,6.9345819611044135e-06,1.2453073168217088e-06,8.519322727806866e-05,-5.8245277614332736e-06,9.279183359467424e-06,
