longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.512,1.4387011106009597e-05,,3.6604476463253377e-06,-1.0745359759312125e-05,1.304812485614093e-06
77.181,28.512,2.289690928591881e-05,,5.328129191184416e-06,5.354636414267588e-06,1.398514427819464e-06
77.192,28.512,3.8433809095295146e-05,,2.954298906843178e-06,8.374116987397429e-06,8.068675015238114e-06
77.202,28.512,7.228899448818993e-06,,1.5723375327070244e-05,-7.220755833259318e-06,9.255237273464443e-06
77.213,28.512,0.0001441159984096,,3.2435291359433904e-06,5.618454906652914e-06,1.599560710019432e-05
77.223,28.512,5.329194027581252e-05,,1.0709118214435875e-05,4.42451937487931e-06,2.313048207724933e-05
77.233,28.512,8.097007230389863e-05,,-2.959249741252279e-06,1.808317938412074e-05,1.2380418411339631e-05
77.244,28.512,5.662118928739801e-05,,4.916595571557991e-06,3.484361513983458e-05,7.760577318549622e-06
77.254,28.512,1.9998955394839868e-05,,6.032507826603251e-06,1.5991567124729045e-05,7.344837740674848e-06
77.264,28.512,2.291746386617888e-05,,3.446452637945185e-06,1.5681063814554363e-05,-5.554828135245771e-07
77.275,28.512,5.1613813411677256e-05,3.363960422575474e-05,-4.1019436025635525e-07,2.312319520569872e-05,1.5461520888493396e-05
77.285,28.512,1.3545368346967734e-05,,9.748734555614648e-06,1.0496481991140172e-05,1.0282125913363416e-05
77.296,28.512,6.515765107906191e-06,,8.136492397170514e-06,9.013214366859756e-06,1.3490985111275222e-05
77.306,28.512,2.1315947378752757e-05,,1.243912811332848e-05,1.717373561405111e-05,1.0575500709819607e-05
77.316,28.512,8.880104360287078e-06,,1.0442969141877256e-05,6.571924313902855e-05,1.5216454812616576e-05
77.327,28.512,2.6878571588895284e-05,,-2.989529093611054e-06,1.0574969564913772e-05,1.067167249857448e-05
77.337,28.512,0.0001047923287842,,5.631960107166378e-07,-5.54377174921683e-06,2.861057737391093e-07
76.891,28.522,1.443718883820111e-05,,1.903235443023732e-06,6.950569058972178e-06,1.1814579011115711e-05
76.901,28.522,1.1133080079162028e-05,,6.947040219529299e-06,1.715279540803749e-05,1.1210941011086106e-06
76.911,28.522,1.193616753880633e-05,,6.6916836658492684e-06,-9.86220948107075e-06,8.071757292782422e-06
76.922,28.522,6.77138232276775e-05,,-5.728266842197627e-06,1.00727147582802e-05,6.070919425837928e-06
76.932,28.522,5.49794604012277e-05,,1.0650248441379516e-05,7.251599527080543e-06,1.6759846403147094e-05
76.943,28.522,3.1342868169303983e-05,,5.047909326094668e-06,-3.87200316254166e-06,1.432009867130546e-05
76.953,28.522,0.0001011703716358,,-3.931030278181424e-06,1.1623960745055228e-05,9.566922926751433e-06
76.963,28.522,9.738021617522465e-05,,5.347935712052276e-07,1.2756644537148532e-05,1.0768116226245183e-05
76.974,28.522,1.0668381037248764e-05,,3.0674289064336335e-07,1.5122240029086242e-06,9.665316611062735e-06
76.984,28.522,1.1282543709967284e-05,,6.582157311640913e-06,-8.873650472196459e-07,1.2378468454699032e-06
76.994,28.522,2.429929918434937e-05,,1.4320718037197366e-05,1.9709434127435088e-05,5.573439466388663e-06
77.005,28.522,1.7675574781605974e-05,,4.433988578966819e-06,6.464478701673215e-06,-1.5591788269375684e-06
77.015,28.522,2.799211142701097e-05,5.146781768416986e-05,6.872295216453495e-06,-7.215176083263941e-06,1.0276750117554911e-06
77.057,28.522,3.517851291690022e-05,,6.952197054488352e-06,1.341363531537354e-05,7.993540407369437e-07
77.067,28.522,1.7568892872077413e-05,,1.2361055269138888e-05,4.805483968084445e-06,5.856764346390264e-06
77.078,28.522,1.3090568245388567e-05,,5.185468126001069e-06,8.628458999737632e-06,1.2322727343416773e-05
77.088,28.522,1.88499761861749e-05,,5.326604423316894e-06,2.151759508706164e-05,1.919357237056829e-05
77.098,28.522,2.0547608073684387e-05,,2.2770243504055543e-06,2.063497413473669e-05,5.134856564836809e-06
77.109,28.522,1.3437525922199711e-05,,-4.043705757794669e-06,5.647264970320975e-06,1.5314364645746537e-05
77.119,28.522,0.0001095627812901,,5.686260919901542e-06,7.768289833620656e-06,
77.129,28.522,0.0004762351454701,,9.888878594210835e-06,1.674607119639404e-05,-1.809993932511134e-07
77.14,28.522,1.8320926756132397e-05,,1.9430694010225125e-05,1.4113411452854052e-05,-3.524680323607754e-06
77.15,28.522,1.095958759833593e-05,,7.41072994969727e-07,1.63062372848799e-06,-1.279010916732659e-06
77.161,28.522,0.0001482800435042,,5.091145339974901e-06,9.044001672009472e-06,-4.617512331606122e-06
77.171,28.522,8.475108188576996e-05,,6.562418548128335e-06,2.7563597541302443e-05,1.5312820323742926e-05
77.181,28.522,9.886543011816684e-06,,1.5958390576997772e-05,3.239410580135882e-05,1.1980408089584673e-05
77.192,28.522,1.6237321688095108e-05,,2.633280018926598e-06,9.770338920134236e-07,4.1476891965430696e-06
77.202,28.522,0.0001707850315142,,2.268643299885298e-07,1.7481479517300613e-05,7.037010618660133e-06
77.213,28.522,9.0992238256149e-05,,5.870685981790302e-06,7.831614311726298e-06,5.859677003172692e-06
77.223,28.522,0.000318243226502,,6.032507826603251e-06,3.768576061702333e-05,-6.771871881028346e-07
77.233,28.522,4.494798122323118e-05,,-9.244580724043772e-06,3.829569322988391e-06,-1.8415108797853463e-06
77.244,28.522,0.0001209055044455,,-1.6016053905332228e-06,3.591810013858776e-07,8.466842700727284e-06
77.254,28.522,3.692835525725968e-05,,-1.9719077499757987e-06,2.8705027943942696e-05,8.883467671694234e-06
77.264,28.522,4.794466804014519e-05,,1.4592878869734704e-05,1.798493212845642e-05,1.321142462984426e-05
77.275,28.522,1.0035269951913506e-05,,5.5589512157894205e-06,1.7334004951408133e-05,1.8485934560885653e-05
77.285,28.522,3.374660082045011e-05,,1.1815575817308854e-05,6.857674634375144e-06,7.312429715966573e-06
77.296,28.522,0.000180368166184,3.363960422575474e-05,1.1982035175606144e-05,-8.583277121942956e-06,1.589075395713735e-06
77.306,28.522,2.147180748579558e-05,,9.862559636530932e-06,7.314329195651226e-06,-1.1093017064922606e-06
77.316,28.522,2.8634562113438733e-05,,2.621236944833072e-06,4.807293407793623e-06,1.2882894225185735e-05
77.327,28.522,2.038647289737128e-05,,7.79323818278499e-06,6.95854214427527e-06,-5.282930146677245e-07
77.337,28.522,-1.4528694691762212e-06,,-2.3190932552097365e-06,2.7584671897784574e-06,1.059176884155022e-05
76.88,28.531,6.077219040889759e-06,,6.939008926565293e-06,7.643747267138679e-06,-4.001327852165559e-06
76.891,28.531,9.48316665017046e-05,,6.954890523047652e-06,4.96559596285806e-06,1.7172891602967866e-05
76.901,28.531,3.475144467302016e-06,,9.469235010328704e-06,2.73429905064404e-05,6.900799007780734e-07
76.911,28.531,9.25433123484254e-05,,8.001110472832806e-06,1.430749489372829e-05,4.857995008933358e-06
76.922,28.531,4.83735857415013e-05,,5.047909326094668e-06,9.487424676990486e-07,-9.317529929830926e-07
76.932,28.531,3.1879978905635653e-06,,3.955385068366013e-07,2.0905314158881083e-05,9.321105608250946e-06
76.943,28.531,-5.197080554353306e-06,5.387794226408005e-05,5.1553752200561576e-06,2.0907253201585263e-05,-9.403127023688284e-07
76.953,28.531,4.547802745946683e-06,,1.1209847798454575e-05,2.333898919459898e-05,1.0611421430439805e-06
76.963,28.531,0.0001302460441365,,5.322576726030093e-06,4.6226241465774365e-06,1.0718695193645544e-05
76.974,28.531,0.0003390118654351,,6.837259206804447e-06,2.081728780467529e-05,1.1137377441627905e-05
76.984,28.531,0.0001018211478367,,4.419681317813229e-06,1.803609484340996e-05,1.5415957022923976e-05
76.994,28.531,1.113489724957617e-05,,1.2644338312384208e-05,9.989727004722226e-06,5.875941042177146e-06
77.036,28.531,1.8892289517680183e-05,5.146781768416986e-05,6.4854698393901344e-06,1.2321246686042286e-05,1.680926106928382e-05
77.046,28.531,1.0643897439877035e-05,,4.733141395263374e-06,-4.716852345154621e-06,4.599588464770932e-06
77.057,28.531,0.0001943377428688,,8.730346962693147e-06,5.094186690257629e-06,7.390752216451801e-06
77.067,28.531,8.056723891058937e-05,,1.649471050768625e-05,6.725138518959284e-06,3.91090361517854e-06
77.078,28.531,4.832167542190291e-05,,1.801109465304762e-05,9.419219168194104e-06,1.7956816009245813e-05
77.088,28.531,9.879968274617568e-05,,1.932536906679161e-05,5.275754301692359e-05,1.3726902579946907e-05
77.098,28.531,6.199097697390243e-05,,1.1608404747676104e-05,1.440907681171666e-06,-3.558694459115941e-07
77.109,28.531,2.4928224320319714e-06,,3.4623537885636324e-06,-1.7217382264789194e-05,2.1544299670495093e-05
77.119,28.531,3.0325354600790888e-05,,1.6572670574532822e-05,1.6957625120994635e-05,6.04720980845741e-06
77.129,28.531,1.1254815944994334e-05,,1.8504633771954104e-05,7.861607628001366e-06,8.886764589988161e-06
77.14,28.531,0.0001223767758347,,9.010122084873728e-06,1.454620996810263e-05,1.2174153198429847e-05
77.15,28.531,2.5318000552942976e-05,,2.255062554468168e-06,-4.358844762464287e-06,1.83231859409716e-05
77.161,28.531,3.068714067921974e-05,,8.819231879897416e-06,1.3704896446142811e-05,8.837554560159333e-06
77.171,28.531,3.939311864087358e-05,,6.823036073910771e-06,3.4604286156536546e-06,1.4300516340881586e-05
77.181,28.531,1.68029021097027e-06,,2.9642599201906705e-06,1.4368589290825184e-05,6.2535659708373714e-06
77.192,28.531,1.4500352335744536e-05,,8.639347470307257e-06,3.4895649150712416e-05,6.636915259150555e-06
77.202,28.531,2.270186087116599e-05,,6.603481779166032e-06,4.074934622622095e-06,1.5215452549455222e-05
77.213,28.531,0.000158996990649,,-5.645626060868381e-06,1.0766125342343004e-05,1.0228543942503164e-05
77.223,28.531,2.2421574612963013e-05,,3.3311914648948004e-06,2.689092980290297e-06,4.222990355629008e-06
77.233,28.531,9.33496357902186e-06,,3.910471150447847e-06,1.3915948329668026e-05,6.684893833153183e-06
77.244,28.531,6.2998310568218585e-06,,4.790242655872135e-06,-1.388625241816044e-05,6.9454240474442486e-06
77.254,28.531,1.77239496679249e-06,,3.064881411773968e-06,3.02667249343358e-05,8.642202374176122e-06
77.264,28.531,0.0004892665310762,,1.2608769793587273e-05,-2.002589098992757e-06,1.2414560842444187e-05
77.275,28.531,1.7297485101153143e-05,,-1.269429048988968e-06,2.1326327441784088e-06,-2.619636006784276e-06
77.285,28.531,1.8061169612337835e-05,,-5.740801952924812e-06,1.0975109944411088e-05,-5.345586487237597e-06
77.296,28.531,1.3614443560072688e-05,,-3.14249814437062e-06,1.1035347597498912e-05,5.775788395112613e-06
77.306,28.531,3.885917612933554e-05,,1.927061930473428e-05,1.7103913705796003e-05,-4.244825504429173e-06
77.316,28.531,1.0682205356715713e-05,,8.97334120963933e-06,5.5753853303031065e-06,1.618225905986037e-05
77.327,28.531,2.381695776421111e-05,,7.271007234521676e-06,1.6207701264647767e-05,9.744199815031608e-06
76.87,28.541,0.000110870336357,,8.075232472037897e-06,2.759349854386528e-06,-1.0701216979214223e-06
76.88,28.541,2.835466329997871e-05,,2.284266884089448e-06,1.917737790790852e-06,1.4751132084711571e-06
76.891,28.541,5.30634424649179e-05,,-4.558779892249731e-06,2.928495996457059e-05,7.79725996835623e-06
76.901,28.541,9.658984345151111e-05,,6.532730367325712e-06,-4.891133357887156e-06,1.2049507859046573e-05
76.911,28.541,8.679555321577936e-05,,7.304265636776108e-06,1.6364321709261276e-05,1.0150003618036862e-05
76.922,28.541,6.751876207999885e-05,,3.967499196733115e-06,1.9007462469744496e-05,7.867060958233196e-06
76.932,28.541,1.439249717805069e-05,,-3.098910610788153e-06,-1.4139477571006864e-05,8.948643881012686e-06
76.943,28.541,3.560191180440597e-05,,6.837259206804447e-06,1.658462315390352e-05,
76.953,28.541,2.9962493499624543e-05,,1.7930244212038815e-05,-5.175410478841513e-06,-2.804425776048447e-06
76.963,28.541,1.5038676792755725e-05,,1.7063402992789634e-05,1.2898462045995984e-05,-2.0657647326061126e-07
76.974,28.541,1.2888965102320071e-05,,-5.5638020057813264e-06,2.867168632292305e-06,5.825328116770834e-06
