longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2)
77.088,28.59,0.1238596066832542,0.1257290691137313
77.098,28.59,0.1229174584150314,
77.109,28.59,0.1225792840123176,0.123173713684082
77.119,28.59,0.1221409514546394,0.1237009763717651
77.129,28.59,0.1201119050383567,0.1240621507167816
77.14,28.59,0.1209753304719924,
77.15,28.59,0.1166095435619354,0.1261467784643173
77.161,28.59,0.1226555705070495,0.1201571747660636
77.171,28.59,0.1191243976354599,0.1226383447647094
77.181,28.59,0.1236538290977478,0.1250811964273452
77.192,28.59,0.1224756091833114,0.1245644837617874
77.202,28.59,0.1225410923361778,0.1231792420148849
77.213,28.59,0.1171393245458602,0.1261521726846695
77.223,28.59,0.121847279369831,0.1325355917215347
77.233,28.59,0.1168976426124572,0.125407412648201
77.244,28.59,0.1215995624661445,0.123594619333744
77.254,28.59,0.1177777871489524,0.1247520148754119
77.264,28.59,0.1219648271799087,0.1258117407560348
77.275,28.59,0.1162408292293548,0.1232473105192184
77.285,28.59,0.1221822127699852,0.1251525580883026
77.296,28.59,0.1209591627120971,0.1370386332273483
77.306,28.59,0.1175024136900901,0.1235979795455932
76.88,28.6,0.1161327064037323,0.126269444823265
76.891,28.6,0.1222186833620071,0.1288138926029205
76.901,28.6,0.1239631325006485,0.1269701719284057
76.911,28.6,0.1227891072630882,0.130503699183464
76.922,28.6,0.1226977184414863,0.1248918250203132
76.932,28.6,0.1217318475246429,0.1223838925361633
76.943,28.6,0.1211314350366592,
76.953,28.6,0.1226187348365783,0.1252183616161346
76.963,28.6,0.1231135725975036,0.1231378838419914
76.974,28.6,0.1236286014318466,0.1243744492530822
76.984,28.6,0.1220843195915222,0.1242020949721336
76.994,28.6,0.1168215572834014,0.1261542439460754
77.005,28.6,0.1241598948836326,
77.015,28.6,0.1238488256931305,0.1267343610525131
77.026,28.6,,0.1265213191509246
77.036,28.6,0.1249161809682846,0.1241411864757537
77.046,28.6,0.1232875436544418,0.1235071867704391
77.057,28.6,0.1190223544836044,
77.067,28.6,0.1184684634208679,
77.078,28.6,0.1227056160569191,0.1252064108848571
77.088,28.6,0.1220265924930572,0.1237276494503021
77.098,28.6,,0.130584567785263
77.109,28.6,0.1154006570577621,0.1216397508978843
77.119,28.6,0.1234696805477142,0.1200268492102623
77.129,28.6,0.1237058192491531,
77.14,28.6,0.1234819591045379,0.1236242204904556
77.15,28.6,0.1168314516544342,0.1235153898596763
77.161,28.6,0.1212898045778274,0.125643640756607
77.171,28.6,0.1222873702645301,0.1250029802322387
77.181,28.6,0.124923251569271,0.1230476349592208
77.192,28.6,0.1162522658705711,0.1233051791787147
77.202,28.6,0.1145910322666168,
77.213,28.6,0.1220074892044067,0.124502308666706
77.223,28.6,0.1207620203495025,0.1233527734875679
77.233,28.6,0.1212468072772026,0.1207239180803299
77.244,28.6,0.1222154423594474,0.1257829666137695
77.254,28.6,0.123029701411724,0.1389556229114532
77.264,28.6,0.1198228001594543,0.1390048116445541
77.275,28.6,0.1229314059019088,0.1257721185684204
77.285,28.6,0.1230213418602943,0.1254602670669555
77.296,28.6,0.1223898902535438,0.1231670603156089
77.306,28.6,,0.1354423612356186
77.316,28.6,0.1224021166563034,0.1371409147977829
77.327,28.6,,0.1223566606640815
76.88,28.61,0.121937409043312,0.1256480813026428
76.891,28.61,0.1206748858094215,0.1261390000581741
76.901,28.61,0.1215639859437942,0.1248120293021202
76.911,28.61,0.11833306401968,0.1232345849275589
76.922,28.61,0.1163254231214523,0.1224199086427688
76.932,28.61,0.1169175654649734,0.1361522376537323
76.943,28.61,0.1243939474225044,0.1226186752319336
76.953,28.61,0.120119996368885,
76.963,28.61,0.1186713650822639,0.1256393939256668
76.974,28.61,0.1159993708133697,0.1258634775876999
76.984,28.61,0.1240563243627548,0.1253860890865326
76.994,28.61,0.1176728755235672,0.1229425445199012
77.005,28.61,0.1199594736099243,0.139005571603775
77.015,28.61,0.1219400241971015,
77.026,28.61,0.122468501329422,0.1245053336024284
77.036,28.61,0.1230444684624672,0.123236633837223
